threshold,metric,ci_lower,ci_upper
Score_2,Calibration (Black),0.25634202086016616,0.3484848484848485
Score_2,Calibration (White),0.2643662501174481,0.36187974908536136
Score_2,Calibration Gap (B-W),-0.07824653985386278,0.05808788959713492
Score_3,Calibration (Black),0.3667524186455585,0.47025534032616184
Score_3,Calibration (White),0.2851441320711679,0.3962962962962963
Score_3,Calibration Gap (B-W),0.003729825738611771,0.15361458169104866
Score_4,Calibration (Black),0.41113693807546486,0.5092360532743573
Score_4,Calibration (White),0.3406554019457245,0.45422535211267606
Score_4,Calibration Gap (B-W),-0.01426413342113056,0.138720816623767
Score_5,Calibration (Black),0.43080403701210807,0.535015848444641
Score_5,Calibration (White),0.3975891269998025,0.5230159421974275
Score_5,Calibration Gap (B-W),-0.05819159596444499,0.10282984007791411
Score_6,Calibration (Black),0.5107512506468863,0.6098657476609644
Score_6,Calibration (White),0.5025125628140703,0.6382978723404256
Score_6,Calibration Gap (B-W),-0.0947709146707162,0.07334887235568913
Score_7,Calibration (Black),0.5452431822686518,0.6407766990291263
Score_7,Calibration (White),0.5357085253456221,0.6953137934602649
Score_7,Calibration Gap (B-W),-0.11398776230880435,0.07222035339519146
Score_8,Calibration (Black),0.6331502429502303,0.7303370786516854
Score_8,Calibration (White),0.6363636363636364,0.7981651376146789
Score_8,Calibration Gap (B-W),-0.13058479868932682,0.055841660606078196
Score_9,Calibration (Black),0.6608877992229603,0.7532817101443222
Score_9,Calibration (White),0.6,0.7843137254901961
Score_9,Calibration Gap (B-W),-0.0900929353555683,0.11715136295038667
Score_10,Calibration (Black),0.7464285714285714,0.84
Score_10,Calibration (White),0.5862068965517241,0.8088235294117647
Score_10,Calibration Gap (B-W),-0.02612434793922631,0.21581039678199243
threshold_independent,AUC (Black),0.6750860814857093,0.7087745667481334
threshold_independent,AUC (White),0.6713013251337847,0.7150246818882002
threshold_independent,AUC (Sample R),0.6901675847085825,0.7143989844682136
threshold_independent,AUC Gap (B-W),-0.02870924423054651,0.02612524312701458
